# INSTANCE: InstancesTDTSP/inst_20_5_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 12023 -1
* 0.01 11981 -1
* 0.04 11942 -1
* 0.16 11882 -1
* 0.17 11868 -1
* 0.31 11854 -1
* 0.31 11640 -1
* 0.32 11639 -1
* 0.35 11598 -1
* 0.36 11580 -1
* 0.36 11553 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 11553
# NUMBER OF BRANCHES: 3230103
# END TIME: 63.82
## No TDTSP solution found.
