# INSTANCE: InstancesTDTSP/inst_50_14_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 31725 -1
* 0 28297 -1
* 0 27927 -1
* 0.01 27345 -1
* 0.07 27100 -1
* 0.09 27077 -1
* 0.1 27062 -1
* 0.1 26982 -1
* 1.15 26753 -1
* 1.15 26590 -1
* 1.15 26588 -1
* 1.27 26534 -1
* 1.27 26506 -1
* 1.28 26445 -1
* 1.29 26410 -1
* 1.29 26397 -1
* 1.3 26389 -1
* 1.3 26374 -1
* 1.31 26267 -1
* 1.31 25683 -1
* 1.32 25679 -1
* 1.32 25666 -1
* 1.32 25584 -1
* 1.32 25545 -1
* 1.65 25528 -1
* 1.66 25435 -1
* 1.69 25392 -1
* 1.69 25391 -1
* 1.72 25307 -1
* 1.85 25133 -1
* 1.91 24996 -1
* 1.92 24971 -1
* 1.96 24941 -1
* 2.02 24919 -1
* 2.2 24918 -1
* 3.13 24864 -1
* 3.29 24816 -1
* 3.3 24804 -1
* 501.4 24726 -1
* 501.5 24723 -1
* 501.52 24712 -1
* 501.68 24698 -1
* 504.5 24693 -1
* 506.04 24664 -1
* 508.67 24621 -1
* 508.67 24604 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 24604
# NUMBER OF BRANCHES: 25131917
# END TIME: 508.67
## No TDTSP solution found.
