# INSTANCE: InstancesTDTSP/inst_100_7_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 50085 -1
* 0.02 50030 -1
* 0.04 49854 -1
* 0.06 49853 -1
* 0.18 49662 -1
* 0.2 49639 -1
* 0.2 49630 -1
* 0.22 49613 -1
* 0.22 49602 -1
* 0.22 49594 -1
* 0.24 49498 -1
* 0.25 49480 -1
* 0.25 49432 -1
* 0.26 49424 -1
* 0.3 49372 -1
* 0.31 49360 -1
* 0.31 49338 -1
* 0.32 49326 -1
* 0.37 49296 -1
* 0.43 49256 -1
* 0.43 49250 -1
* 0.44 49227 -1
* 0.44 49217 -1
* 0.45 49216 -1
* 0.45 48195 -1
* 0.51 48108 -1
* 0.54 48091 -1
* 0.58 48013 -1
* 0.65 47972 -1
* 0.65 47830 -1
* 0.68 47717 -1
* 0.71 47604 -1
* 0.71 47436 -1
* 0.71 47401 -1
* 0.8 47320 -1
* 0.8 47307 -1
* 0.81 47298 -1
* 0.82 47250 -1
* 0.84 47213 -1
* 1.86 46948 -1
* 1.87 46929 -1
* 1.97 46873 -1
* 2.09 46857 -1
* 2.16 46832 -1
* 2.19 46830 -1
* 2.27 46750 -1
* 2.28 46680 -1
* 2.29 46669 -1
* 2.32 46664 -1
* 9.81 46591 -1
* 9.86 46578 -1
* 9.87 46576 -1
* 10.16 46573 -1
* 10.18 46553 -1
* 10.27 46520 -1
* 10.35 46446 -1
* 10.35 46374 -1
* 10.38 46341 -1
* 10.42 46321 -1
* 10.56 46309 -1
* 11.31 46308 -1
* 11.34 46282 -1
* 11.39 46271 -1
* 11.51 46270 -1
* 11.96 46240 -1
* 11.99 46208 -1
* 12.49 46175 -1
* 12.62 46167 -1
* 12.65 46166 -1
* 12.68 46152 -1
* 12.71 46128 -1
* 13.9 46054 -1
* 13.91 46000 -1
* 13.92 45986 -1
* 13.93 45975 -1
* 13.93 45972 -1
* 13.95 45964 -1
* 13.97 45941 -1
* 14.48 45929 -1
* 14.61 45892 -1
* 14.68 45881 -1
* 14.75 45875 -1
* 14.78 45867 -1
* 142.61 45858 -1
* 142.61 45844 -1
* 142.63 45809 -1
* 142.66 45765 -1
* 142.68 45747 -1
* 144.8 45703 -1
* 144.84 45648 -1
* 144.87 45628 -1
* 146.8 45613 -1
* 151.39 45584 -1
* 153.26 45569 -1
* 153.29 45513 -1
* 153.35 45510 -1
* 153.36 45484 -1
* 154.14 45471 -1
* 154.16 45445 -1
* 177.63 45438 -1
* 178.32 45422 -1
* 178.35 45395 -1
* 271.23 44845 -1
* 271.23 44810 -1
* 271.26 44534 -1
* 272.03 44477 -1
* 272.03 44445 -1
* 278.25 44424 -1
* 278.27 44386 -1
* 278.31 44344 -1
* 278.32 44332 -1
* 278.41 44318 -1
* 278.44 44316 -1
* 314.65 44213 -1
* 314.65 44190 -1
* 318.72 44142 -1
* 318.75 44098 -1
* 318.85 44060 -1
* 319.04 44057 -1
* 319.42 44034 -1
* 321.12 43972 -1
* 324.6 43952 -1
* 325.3 43935 -1
* 325.49 43910 -1
* 327.15 43882 -1
* 329.14 43844 -1
* 775.89 43703 -1
* 803.47 43637 -1
* 803.48 43634 -1
* 803.5 43626 -1
* 803.65 43605 -1
* 803.95 43597 -1
* 804.48 43523 -1
* 804.53 43475 -1
* 804.59 43433 -1
* 804.87 43396 -1
* 804.91 43395 -1
* 804.93 43385 -1
* 805.12 43365 -1
* 805.14 43351 -1
* 805.8 43347 -1
* 805.96 43319 -1
* 805.97 43296 -1
* 806.01 43258 -1
* 806.71 43215 -1
* 806.75 43165 -1
* 806.89 43151 -1
* 807.06 43124 -1
* 808.05 43023 -1
* 808.06 43000 -1
* 808.12 42992 -1
* 810.04 42928 -1
* 810.37 42924 -1
* 810.52 42887 -1
* 810.71 42886 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 42886
# NUMBER OF BRANCHES: 305528058
# END TIME: 7200.01
## No TDTSP solution found.
