# INSTANCE: InstancesTDTSP/inst_20_10_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 20
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0 19301 -1
* 0 16236 -1
* 0.01 14701 -1
* 0.01 13405 -1
* 0.05 13341 -1
* 0.37 13333 -1
* 0.37 13149 -1
* 0.37 13148 -1
* 0.37 13007 -1
* 0.37 12960 -1
* 0.37 12539 -1
* 0.39 12429 -1
* 0.52 12328 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 12328
# NUMBER OF BRANCHES: 139155
# END TIME: 3.07
## No TDTSP solution found.
