# INSTANCE: InstancesTDTSP/inst_50_16_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 50
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0 29213 -1
* 0.01 26036 -1
* 0.01 25999 -1
* 0.04 25904 -1
* 0.05 25881 -1
* 0.15 25876 -1
* 0.15 25795 -1
* 0.15 25754 -1
* 0.15 25606 -1
* 0.16 25414 -1
* 0.16 25328 -1
* 0.16 25321 -1
* 0.17 25300 -1
* 0.18 25291 -1
* 0.18 25235 -1
* 0.18 25149 -1
* 0.18 25063 -1
* 0.19 24801 -1
* 0.2 24392 -1
* 0.2 24184 -1
* 0.22 24049 -1
* 0.22 23964 -1
* 0.23 23959 -1
* 0.42 23931 -1
* 0.44 23930 -1
* 0.45 23917 -1
* 0.45 23916 -1
* 0.45 23853 -1
* 0.49 23737 -1
* 0.49 23726 -1
* 0.51 23703 -1
* 0.53 23672 -1
* 0.54 23662 -1
* 0.55 23582 -1
* 0.56 23555 -1
* 0.56 23454 -1
* 0.59 23357 -1
* 0.61 22787 -1
* 0.61 22746 -1
* 0.62 22683 -1
* 0.62 22675 -1
* 0.64 22669 -1
* 0.65 22664 -1
* 0.65 22651 -1
* 0.65 22568 -1
* 0.66 22519 -1
* 0.66 22505 -1
* 0.68 22472 -1
* 0.69 22464 -1
* 0.7 22409 -1
* 0.7 22216 -1
* 0.72 22210 -1
* 0.77 22205 -1
* 0.79 22198 -1
* 0.79 22132 -1
* 0.8 22088 -1
* 0.85 22056 -1
* 0.86 22037 -1
* 0.88 22014 -1
* 5218.07 22003 -1
* 5218.13 21998 -1
* 5218.19 21912 -1
* 5218.2 21896 -1
* 5232.64 21889 -1
* 5233.09 21886 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 21886
# NUMBER OF BRANCHES: 273834576
# END TIME: 7200.01
## No TDTSP solution found.
