# INSTANCE: InstancesTDTSP/inst_30_15_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0.01 18844 -1
* 0.01 16140 -1
* 0.01 16114 -1
* 16.41 16113 -1
* 16.42 15958 -1
* 16.49 15934 -1
* 16.53 15908 -1
* 16.57 15881 -1
* 16.57 15879 -1
* 16.58 15799 -1
* 16.64 15740 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 15740
# NUMBER OF BRANCHES: 144746908
# END TIME: 3600
## No TDTSP solution found.
