# INSTANCE: InstancesTDTSP/inst_30_13_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 30
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 3600
* 0.01 20698 -1
* 0.01 19921 -1
* 0.01 19722 -1
* 0.03 19572 -1
* 0.14 19517 -1
* 0.14 19338 -1
* 0.16 19127 -1
* 0.16 18994 -1
* 0.24 18588 -1
* 0.25 18492 -1
* 0.25 18488 -1
* 1441.59 18478 -1
* 1464.83 18350 -1
* 1464.84 18293 -1
* 1464.84 18263 -1
* 1464.88 18220 -1
* 1465.07 18195 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY PROVED
# BEST TSP SOLUTION: 18195
# NUMBER OF BRANCHES: 175442061
# END TIME: 3381.19
## No TDTSP solution found.
