# INSTANCE: InstancesTDTSP/inst_100_8_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 2.8 52651 -1
* 5.86 52190 -1
* 7.54 52152 -1
* 9.2 51992 -1
* 9.24 51846 -1
* 9.25 51693 -1
* 9.27 51636 -1
* 9.3 51600 -1
* 9.3 51350 -1
* 9.34 51022 -1
* 9.34 50951 -1
* 9.38 50765 -1
* 9.41 50615 -1
* 9.42 50604 -1
* 9.48 50418 -1
* 9.48 50405 -1
* 9.55 50318 -1
* 9.55 50260 -1
* 9.58 50167 -1
* 9.6 50137 -1
* 9.61 49809 -1
* 9.61 49569 -1
* 9.61 49561 -1
* 9.66 49555 -1
* 9.68 49527 -1
* 9.69 49521 -1
* 9.69 49463 -1
* 9.69 49442 -1
* 9.71 49356 -1
* 9.71 49124 -1
* 9.72 48913 -1
* 9.75 48880 -1
* 9.76 48815 -1
* 9.78 48745 -1
* 9.8 48720 -1
* 9.81 48674 -1
* 9.83 48572 -1
* 9.84 48546 -1
* 9.85 48503 -1
* 9.86 48440 -1
* 9.86 48362 -1
* 9.87 48349 -1
* 9.87 48311 -1
* 9.9 48289 -1
* 9.9 48285 -1
* 9.91 48237 -1
* 9.94 48136 -1
* 9.95 48021 -1
* 9.97 48014 -1
* 9.98 48005 -1
* 9.98 47968 -1
* 9.99 47924 -1
* 10 47893 -1
* 10.1 47820 -1
* 10.13 47700 -1
* 10.13 47696 -1
* 10.18 47568 -1
* 10.2 47543 -1
* 10.22 47492 -1
* 10.23 47370 -1
* 10.35 47052 -1
* 10.35 47035 -1
* 10.48 47011 -1
* 10.58 46918 -1
* 10.61 46877 -1
* 10.62 46818 -1
* 10.73 46809 -1
* 10.75 46767 -1
* 10.78 46671 -1
* 10.84 46643 -1
* 10.88 46642 -1
* 10.89 46568 -1
* 10.93 46484 -1
* 10.99 46474 -1
* 11 46438 -1
* 11.03 46393 -1
* 11.18 46225 -1
* 11.19 46192 -1
* 19.39 46184 -1
* 19.41 46142 -1
* 19.92 46125 -1
* 20.57 46098 -1
* 20.61 46094 -1
* 20.88 45947 -1
* 20.98 45609 -1
* 21.07 45520 -1
* 21.3 45459 -1
* 21.34 45411 -1
* 21.34 45311 -1
* 21.66 45301 -1
* 22.82 45150 -1
* 22.83 45144 -1
* 22.93 45139 -1
* 22.95 45103 -1
* 22.97 45070 -1
* 23.06 44904 -1
* 23.17 44848 -1
* 23.19 44770 -1
* 23.24 44712 -1
* 23.25 44646 -1
* 23.27 44481 -1
* 23.52 44473 -1
* 23.61 44445 -1
* 23.71 44433 -1
* 23.91 44409 -1
* 24.15 44289 -1
* 25.27 43995 -1
* 25.28 43979 -1
* 25.29 43861 -1
* 25.29 43759 -1
* 25.3 43616 -1
* 25.31 43609 -1
* 25.34 43549 -1
* 25.42 43339 -1
* 25.52 43329 -1
* 25.57 43246 -1
* 25.58 43186 -1
* 25.62 42901 -1
* 25.63 42848 -1
* 25.64 42828 -1
* 25.64 42768 -1
* 25.65 42715 -1
* 25.67 42658 -1
* 4906.88 42518 -1
* 4906.95 42502 -1
* 5494.86 42441 -1
* 5495.07 42420 -1
* 5496.09 42377 -1
* 5496.11 42357 -1
* 5496.14 42292 -1
* 5496.17 42256 -1
* 5496.34 42244 -1
* 5496.37 42202 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 42202
# NUMBER OF BRANCHES: 232299439
# END TIME: 7200.02
## No TDTSP solution found.
