# INSTANCE: InstancesTDTSP/inst_100_3_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_20p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 0.01 39867 -1
* 0.01 39801 -1
* 0.01 39761 -1
* 0.02 39698 -1
* 0.03 39621 -1
* 0.17 39615 -1
* 0.21 39554 -1
* 0.27 39538 -1
* 0.32 39526 -1
* 0.37 39453 -1
* 1.39 39408 -1
* 1.41 39269 -1
* 1.46 39220 -1
* 1.47 39212 -1
* 8.71 39192 -1
* 8.74 39165 -1
* 40.62 39107 -1
* 41 39100 -1
* 43.83 39078 -1
* 47.81 38998 -1
* 571.39 38966 -1
* 572.44 38962 -1
* 572.91 38951 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 38951
# NUMBER OF BRANCHES: 225256879
# END TIME: 7200.01
## No TDTSP solution found.
