# INSTANCE: InstancesTDTSP/inst_100_16_TW.txt InstancesTDTSP/tdtsp_bench_255_6h00_12h30_10p_ti_mirrored.txt
# ALGORITHM: TSP MEDIAN NOOVERLAP RESTART
# NUMBER OF VISITS: 100
# NUMBER OF TIME WINDOWS: 130
# TIME LIMIT: 7200
* 74.68 47608 -1
* 78.46 47483 -1
* 82.25 46460 -1
* 82.46 45937 -1
* 82.56 45859 -1
* 82.57 45705 -1
* 82.57 45641 -1
* 82.6 45614 -1
* 82.93 45597 -1
* 83.1 45522 -1
* 83.1 45468 -1
* 83.13 45446 -1
* 83.16 45356 -1
* 83.45 45329 -1
* 83.47 45326 -1
* 83.51 45261 -1
* 83.55 44710 -1
* 83.55 44705 -1
* 83.56 44655 -1
* 83.56 44652 -1
* 83.62 44576 -1
* 83.63 44573 -1
* 83.87 44482 -1
* 83.87 44472 -1
* 83.89 44467 -1
* 84.34 44415 -1
* 84.41 44398 -1
* 84.49 44385 -1
* 84.78 44319 -1
* 84.92 44204 -1
* 85.45 44037 -1
* 85.52 44014 -1
* 85.64 43979 -1
* 85.7 43918 -1
* 86.06 43823 -1
* 86.29 43807 -1
* 87.06 43705 -1
* 87.08 43683 -1
* 87.3 43652 -1
* 87.32 43630 -1
* 87.39 43619 -1
* 87.39 43597 -1
* 87.89 43590 -1
* 87.93 43555 -1
* 88 43545 -1
* 88.01 43521 -1
* 88.2 43514 -1
* 88.49 43354 -1
* 88.54 43332 -1
* 89.37 43329 -1
* 89.43 43321 -1
* 89.48 43282 -1
* 89.54 43076 -1
* 89.83 43043 -1
* 89.9 43030 -1
* 89.91 42962 -1
* 90.01 42947 -1
* 121.55 42929 -1
* 121.57 42921 -1
* 121.85 42919 -1
* 121.92 42907 -1
* 121.92 42873 -1
* 122.17 42837 -1
* 123.35 42816 -1
* 123.39 42813 -1
* 123.46 42778 -1
* 123.51 42718 -1
* 123.53 42716 -1
* 139.16 42677 -1
* 139.24 42641 -1
* 139.29 42619 -1
* 141.21 42618 -1
* 1972.21 42603 -1
* 1975.6 42600 -1
* 1977.25 42599 -1
* 1977.27 42538 -1
* 1983.96 42531 -1
* 1996.87 42338 -1
# TSP SOLUTION FOUND
# TSP OPTIMALITY NOT PROVED
# BEST TSP SOLUTION: 42338
# NUMBER OF BRANCHES: 165305550
# END TIME: 7200.16
## No TDTSP solution found.
