# EXTRACTION TIME: 0.4
* 0.003 1318
* 0.025 1295
* 0.094 1287
* 0.285 1255
* 0.373 1253
* 0.515 1245
* 6.507 1237
* 9.328 1236
* 12.841 1228
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1228
# NUMBER OF BRANCHES: 490306
# END TIME: 30.407
## Solution: 
40
0 0
16 232
15 247
21 266
32 277
27 299
3 323
26 344
9 367
30 403
36 438
7 464
2 489
34 519
24 552
17 591
22 620
31 655
8 665
6 680
29 701
5 727
18 750
28 768
37 777
20 790
35 816
1 833
39 857
14 888
12 926
33 949
10 973
19 1000
23 1044
11 1077
13 1089
40 1099
25 1107
38 1117
4 1137
# BEST TD SOLUTION: 1228
