# EXTRACTION TIME: 0.099
* 0.002 1265
* 0.009 1243
* 0.106 1233
* 0.116 1210
* 0.117 1202
* 0.169 1195
* 0.185 1190
* 0.19 1180
* 0.215 1162
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 1162
# NUMBER OF BRANCHES: 489149
# END TIME: 30.101
## Solution: 
25
0 0
18 203
7 231
22 275
17 321
2 387
19 408
13 429
6 459
20 488
8 516
11 562
3 596
5 639
12 664
14 678
10 737
15 816
24 870
16 892
21 933
4 958
9 978
25 1005
23 1041
1 1073
# BEST TD SOLUTION: 1162
