# EXTRACTION TIME: 0.062
* 0 1036
* 0.016 922
* 0.125 920
* 0.125 913
* 0.125 911
* 0.125 899
* 0.14 891
* 0.156 887
* 0.156 885
* 0.156 883
* 0.156 872
* 0.172 869
* 0.172 863
* 0.187 858
# SOLUTION FOUND
# OPTIMALITY PROVED
# BEST SOLUTION: 858
# NUMBER OF BRANCHES: 190888
# END TIME: 8.642
## Solution: 
20
0 0
19 286
2 306
14 330
4 364
13 403
11 431
16 456
1 474
15 490
5 519
7 543
3 553
10 597
9 613
6 630
12 674
20 691
17 712
8 739
18 760
# BEST TD SOLUTION: 858
