# EXTRACTION TIME: 0.21
* 0.003 1099
* 0.006 1098
* 0.008 1097
* 0.022 1075
* 0.028 1063
* 0.035 1047
* 0.041 1029
* 0.046 1013
* 0.076 1003
* 0.13 996
* 0.161 989
* 0.674 981
* 3.291 980
* 4.595 979
# SOLUTION FOUND
# OPTIMALITY NOT PROVED
# BEST SOLUTION: 979
# NUMBER OF BRANCHES: 70432980
# END TIME: 3600.21
## Solution: 
30
0 0
3 219
8 242
9 260
18 285
26 305
17 326
27 350
15 379
16 400
23 431
6 455
5 485
12 510
11 535
19 571
29 592
20 621
2 646
10 666
14 698
21 710
1 719
25 740
22 784
7 804
24 813
4 838
13 856
28 868
30 890
# BEST TD SOLUTION: 979
